Comment,Sentiment
can confirm: he never gave us up,Neutral
bruh I can't believe I just got Rick rolled in 2026,Neutral
Bro yu trolling,Neutral
"kinda sucks, when i got here got rickrolled again",Negative
"Got it again, the memes still going on",Neutral
But the link sayd free robux,Positive
purposefuly rickrolling myself because a wise man once said to confuse the enemy you must first confuse?,Positive
"my friend send me here, now i need to get revenge for him lol",Positive
damn i got rickrolled by feodoric,Neutral
"no way i got rickrolled on cornhub, smh",Neutral
I got rickrolled by the pilgrammed wiki,Neutral
"never dying memes, always finds it ways to the surface again and again",Neutral
"kinda sucks, when i got here got rickrolled again",Negative
QR LEGENDARY FREE ME BRO,Positive
"Remember the guy who made this popular? The ""GTA 5 new trailer""",Positive
Bro became a meme,Neutral
I wanted to be rickrolled,Neutral
1numara❤❤sevgiler Yuotubuye sevgili dinliyecilerime gelsin tenkyou mesajlariniz muhtesem destekleriniz icin tesekkurler🎉❤❤❤,Neutral
Meme in beluga,Neutral
O QR'da Rick roll olduğundan o kadar eminim ki...,Neutral
